  m=n=k         bli_dgemm: t    MFLOPS
    200               0.0094   1705.73
    400               0.0617   2073.64
    600               0.1978   2184.08
    800               0.4636   2208.84
   1000               0.8906   2245.80
   1200               1.4954   2311.03
   1400               2.3722   2313.47
   1600               3.5325   2319.03
   1800               5.0100   2328.17
   2000               6.8810   2325.23
   2200               9.1452   2328.66
   2400              11.7364   2355.75
   2600              14.9325   2354.06
   2800              18.6429   2354.99
   3000              22.9037   2357.70
   3200              28.0911   2332.98
   3400              33.6611   2335.28
   3600              39.6664   2352.42
   3800              46.6820   2350.89
   4000              54.4414   2351.15
