  m=n=k         bli_sgemm: t    MFLOPS
    200               0.0048   3329.80
    400               0.0287   4454.57
    600               0.0870   4963.14
    800               0.2044   5009.96
   1000               0.3853   5190.58
   1200               0.6464   5346.92
   1400               1.0341   5307.18
   1600               1.5229   5379.07
   1800               2.1304   5474.96
   2000               2.9518   5420.36
   2200               3.8916   5472.28
   2400               4.9922   5538.19
   2600               6.3996   5492.81
   2800               7.9432   5527.21
   3000               9.6861   5574.98
   3200              11.8873   5513.09
   3400              14.3248   5487.53
   3600              16.8846   5526.45
   3800              19.7894   5545.59
   4000              23.1885   5519.97
