  m=n=k          hpc_dgemm:t    MFLOPS
    200               0.0099   1617.28
    400               0.0687   1863.25
    600               0.2252   1917.95
    800               0.5285   1937.39
   1000               1.0294   1942.86
   1200               1.7689   1953.73
   1400               2.8011   1959.26
   1600               4.1717   1963.72
   1800               5.9394   1963.83
   2000               8.1276   1968.59
   2200              10.8056   1970.82
   2400              14.0164   1972.55
   2600              17.8511   1969.18
   2800              22.2100   1976.76
   3000              27.2933   1978.51
   3200              33.1016   1979.85
   3400              39.7119   1979.46
   3600              47.0937   1981.41
   3800              55.3530   1982.62
   4000              64.5295   1983.59
