  m=n=k          hpc_sgemm:t    MFLOPS
    200               0.0075   2125.08
    400               0.0547   2341.06
    600               0.1789   2415.01
    800               0.4214   2429.97
   1000               0.7984   2504.95
   1200               1.3778   2508.41
   1400               2.1936   2501.78
   1600               3.2770   2499.83
   1800               4.6573   2504.45
   2000               6.3249   2529.67
   2200               8.4254   2527.60
   2400              10.9627   2522.01
   2600              13.9699   2516.26
   2800              17.2711   2542.05
   3000              21.2796   2537.64
   3200              25.8615   2534.12
   3400              31.0654   2530.41
   3600              36.9194   2527.45
   3800              43.1349   2544.21
   4000              50.3758   2540.90
