                                          data access speeds in GiB/s
     fuse           1           2           3           4           5           6           7           8
   stride
        8     6.45161    13.33333    19.83471    23.88060    24.53988    24.36548    23.82979    24.42748
       16     6.61157    12.69841    14.90683    16.32653    16.26016    17.14286    18.06452    18.33811
       24     5.83942     9.14286    10.43478    11.72161    12.12121    12.24490    12.52796    12.74900
       32     4.87805     7.23982     8.45070     9.06516     9.38967     9.69697     9.73913     9.92248
       40     3.98010     5.86081     6.91643     7.47664     7.75194     7.80488     7.88732     7.87208
       48     3.44828     5.01567     5.74163     6.26223     6.53595     6.59341     6.10022     6.04915
       56     3.10078     4.37158     5.00000     5.40541     5.41272     5.35117     5.04050     5.23732
       64     2.03562     3.33333     3.97351     4.35374     4.60299     4.64217     4.45151     4.30108
       72     2.00501     3.18725     3.72671     4.24403     4.33369     4.18118     4.04040     3.72960
       80     1.97531     3.03030     3.56083     3.99501     4.18848     3.98010     3.66972     3.52035
       88     1.96078     2.99065     3.37079     3.66972     3.92157     3.56877     3.26531     3.19202
       96     1.93237     2.86225     3.20856     3.56745     3.40136     3.20000     2.90155     2.78503
      104     1.87793     2.73038     3.04183     3.41515     3.03951     2.70728     2.24900     1.92713
      112     1.83486     2.78746     3.01129     3.19043     2.72665     2.34489     1.90347     1.67803
      120     1.81406     2.63158     2.83353     2.99906     2.41692     2.11082     1.69851     1.51875
      128     1.63265     2.57649     2.79720     3.13112     2.55265     2.47168     2.05128     1.89742
      136     1.45455     2.46533     2.50522     2.56822     2.27402     2.28898     1.87166     1.75103
      144     1.40845     2.33577     2.37389     2.43161     2.30548     2.07433     1.84636     1.64821
      152     1.36054     2.26629     2.40722     1.88791     1.99104     1.73035     1.66221     1.50517
      160     1.28205     2.20083     2.17588     1.94884     1.91022     1.87207     1.70732     1.52927
      168     1.31579     2.16802     2.26415     2.16216     1.93986     1.73285     1.58147     1.44437
      176     1.23648     2.17391     2.14861     1.93822     1.77857     1.53600     1.40562     1.29817
      184     1.15274     1.89573     1.83066     1.71858     1.43472     1.50943     1.30172     1.27490
      192     1.14613     1.91847     1.88531     1.46252     1.40499     1.37536     1.14731     1.08346
      200     1.12202     1.72786     1.77122     1.53110     1.33958     1.38010     1.28943     1.10880
      208     1.09141     1.65975     1.51803     1.44144     1.38889     1.40310     1.27708     1.21075
      216     1.17647     1.62602     1.73285     1.46991     1.34725     1.27966     1.20534     1.17885
      224     1.14286     1.62767     1.16054     1.42349     1.29534     1.33001     1.26611     1.18782
      232     1.15440     1.65803     1.43541     1.32341     1.25628     1.16675     1.16959
