                                          data access speeds in GiB/s
     fuse           1           2           3           4           5           6           7           8
   stride
        8     3.61991     5.59441     5.33333     5.13644     4.93827     4.68293     3.19817     2.09424
       16     3.46320     4.08163     3.64188     1.82648     1.00959     0.60491     0.40483     0.31944
       24     3.03030     2.50391     1.14558     0.66542     0.44145     0.32120     0.23704     0.21418
       32     2.53165     1.46520     0.59598     0.44242     0.35152     0.27094     0.20042     0.19199
       40     2.08333     0.77369     0.39709     0.31746     0.26459     0.21480     0.18510     0.17033
       48     1.67715     0.47890     0.30968     0.27253     0.23933     0.20037     0.17064     0.15162
       56     1.38408     0.35359     0.25851     0.24253     0.21817     0.18954     0.16859     0.15138
       64     0.64257     0.28917     0.21794     0.21215     0.19846     0.16973     0.14928     0.11715
       72     0.54682     0.22406     0.19424     0.18892     0.17650     0.15426     0.14227     0.12457
       80     0.35955     0.17307     0.17494     0.17197     0.16104     0.14421     0.13710     0.12396
       88     0.23236     0.15179     0.15747     0.15473     0.14536     0.13660     0.13453     0.12717
       96     0.31911     0.17613     0.16335     0.12337     0.12331     0.12251     0.12243     0.12327
      104     0.12340     0.11641     0.13667     0.13422     0.13242     0.13162     0.13105     0.12779
      112     0.10119     0.11936     0.13963     0.13687     0.13000     0.12719     0.12437     0.12264
      120     0.08856     0.12198     0.14765     0.15260     0.14264     0.13401     0.13269     0.12721
      128     0.23923     0.25514     0.21230     0.20837     0.19390     0.16581     0.14630     0.11630
      136     0.07277     0.11643     0.15126     0.15912     0.15097     0.13871     0.13565     0.12796
      144     0.07931     0.11044     0.13201     0.13047     0.12879     0.13021     0.13015     0.13121
      152     0.06825     0.10447     0.13203     0.13106     0.13083     0.13168     0.13214     0.13469
      160     0.06071     0.10206     0.13179     0.13031     0.12940     0.13188     0.12859     0.12959
      168     0.05959     0.10216     0.13332     0.13067     0.13214     0.13420     0.13360     0.13500
      176     0.06313     0.10411     0.12648     0.12716     0.12737     0.12942     0.12836     0.12977
      184     0.07019     0.12365     0.15056     0.15700     0.14651     0.13853     0.13913     0.13369
      192     0.22447     0.24368     0.21311     0.20531     0.19234     0.16721     0.15066     0.12456
      200     0.06883     0.12141     0.15129     0.15961     0.15032     0.14044     0.13951     0.13321
      208     0.05812     0.10233     0.13003     0.12975     0.13017     0.13088     0.13198     0.13268
      216     0.05619     0.10152     0.13371     0.13327     0.13569     0.13526     0.13515     0.13657
      224     0.05649     0.10206     0.13271     0.12581     0.12569     0.12626     0.12474     0.12427
      232     0.05526     0.10150     0.13027     0.12779     0.12942     0.13102     0.13144     0.13384
      240     0.05589     0.10166     0.13108     0.12840     0.12738     0.12769     0.12654     0.12724
      248     0.06418     0.12024     0.14820     0.15008     0.14065     0.13403     0.13248     0.12776
      256     0.19389     0.23310     0.21294     0.20099     0.18628     0.15811     0.14066     0.11712
      264     0.06731     0.12288     0.15219     0.15573     0.14822     0.13741     0.13472     0.12926
      272     0.05955     0.10486     0.13689     0.13633     0.13549     0.13369     0.13387     0.13377
      280     0.05616     0.10096     0.13240     0.13247     0.13619     0.13651     0.13541     0.13629
      288     0.05896     0.10200     0.13780     0.13160     0.13252     0.13220     0.13213     0.13135
      296     0.05801     0.10233     0.13922     0.13547     0.13708     0.13790     0.13680     0.13652
