   stride  time in ns   speed in GiB/s
        8     1.13621   6.55738
       16     1.17347   6.34921
       24     1.32248   5.63380
       32     1.50874   4.93827
       40     1.85333   4.02010
       48     2.20723   3.37553
       56     2.44938   3.04183
       64     3.66941   2.03046
       72     3.69735   2.01511
       80     3.73460   1.99501
       88     3.84636   1.93705
       96     3.94881   1.88679
      104     3.98606   1.86916
      112     4.03263   1.84758
      120     4.20026   1.77384
      128     4.55417   1.63599
      136     5.05708   1.47330
      144     5.42030   1.37457
      152     5.50412   1.35364
      160     5.89527   1.26382
      168     5.80214   1.28411
      176     6.16536   1.20846
      184     6.31437   1.17994
      192     6.53788   1.13960
      200     6.49132   1.14778
      208     6.51926   1.14286
      216     6.34231   1.17474
      224     6.36093   1.17130
      232     6.73346   1.10650
      240     6.56582   1.13475
      248     6.81728   1.09290
      256     6.47269   1.15108
      264     6.48201   1.14943
      272     6.37956   1.16788
      280     6.39819   1.16448
      288     6.35162   1.17302
      296     6.39819   1.16448
      304     6.40750   1.16279
      312     6.43544   1.15774
      320     6.45407   1.15440
      328     6.80797   1.09439
      336     7.00355   1.06383
      344     6.37956   1.16788
      352     6.27711   1.18694
      360     6.21192   1.19940
      368     6.12810   1.21581
      376     7.37607   1.01010
      384     6.36093   1.17130
      392     6.31437   1.17994
      400     6.12810   1.21581
      408     6.12810   1.21581
      416     6.80797   1.09439
      424     6.47269   1.15108
      432     6.66827   1.11732
      440     6.91041   1.07817
      448     6.24917   1.19225
      456     6.36093   1.17130
      464     7.45058   1.00000
      472     6.71484   1.10957
      480     7.62753   0.97680
      488     9.06177   0.82220
      496     7.66478   0.97205
      504     7.16187   1.04031
      512     8.67993   0.85837
      520     8.88482   0.83857
      528     6.32368   1.17820
      536     6.61239   1.12676
      544     7.00355   1.06383
      552     8.16770   0.91220
      560     6.28643   1.18519
      568     8.13045   0.91638
      576     7.47852   0.99626
      584    12.47041   0.59746
      592     9.21078   0.80890
      600     7.07805   1.05263
      608     7.02217   1.06101
      616     8.21427   0.90703
      624     7.97212   0.93458
      632     8.84756   0.84211
      640     7.83242   0.95125
      648     9.30391   0.80080
      656     8.33534   0.89385
      664     9.26666   0.80402
      672     9.12696   0.81633
      680    11.00823   0.67682
      688     9.78820   0.76118
      696    12.47041   0.59746
      704    14.83597   0.50220
      712    14.09091   0.52875
      720    15.88836   0.46893
      728    17.18290   0.43360
      736    15.53446   0.47962
      744    14.15610   0.52632
      752    14.46344   0.51513
      760    14.67764   0.50761
      768    16.34471   0.45584
      776    16.13051   0.46189
      784    15.21781   0.48960
      792    14.97567   0.49751
      800    14.84528   0.50188
      808    15.21781   0.48960
      816    16.40059   0.45429
      824    17.83483   0.41775
      832    15.05949   0.49474
      840    16.69861   0.44618
      848    19.25044   0.38703
      856    18.83134   0.39565
      864    19.90236   0.37436
      872    18.58920   0.40080
      880    20.18176   0.36917
      888    19.99550   0.37261
      896    19.97687   0.37296
      904    25.24816   0.29509
      912    27.39951   0.27192
      920    29.70919   0.25078
      928    23.67422   0.31471
      936    26.60789   0.28001
      944    29.36460   0.25373
      952    27.32500   0.27267
      960    29.16902   0.25543
      968    27.21325   0.27379
      976    27.05492   0.27539
      984    23.33894   0.31923
      992    23.05955   0.32310
     1000    24.59623   0.30292
     1008    28.57298   0.26076
     1016    23.30169   0.31974
     1024    26.77552   0.27826
     1032    24.45653   0.30465
     1040    22.57526   0.33003
     1048    22.03509   0.33812
     1056    23.05955   0.32310
     1064    23.45070   0.31771
     1072    25.97459   0.28684
     1080    24.79181   0.30053
     1088    25.22953   0.29531
     1096    25.47167   0.29250
     1104    25.76970   0.28912
     1112    28.65680   0.25999
     1120    28.04212   0.26569
     1128    27.71616   0.26882
     1136    28.16319   0.26455
     1144    27.20393   0.27388
     1152    25.49961   0.29218
     1160    26.36574   0.28259
     1168    26.93385   0.27663
     1176    28.01418   0.26596
     1184    27.75341   0.26846
     1192    30.89197   0.24118
     1200    28.78718   0.25882
