   stride  time in ns
        8     2.05822
       16     2.19792
       24     2.44938
       32     2.95229
       40     3.57628
       48     4.51691
       56     8.53091
       64    11.71604
       72    17.20153
       80    22.41693
       88    33.54624
       96    23.45070
      104    60.95506
      112    73.37891
      120    84.49890
      128    30.98510
      136   103.42337
      144    93.58861
      152   109.93332
      160   122.62724
      168   125.45846
      176   118.13827
      184   106.80407
      192    33.32272
      200   108.21037
      208   128.52252
      216   132.99286
      224   131.89390
      232   135.10697
      240   133.37471
      248   116.19180
      256    38.43568
      264   110.70631
      272   125.23495
      280   132.70415
      288   126.12902
      296   128.34556
      304   128.49458
      312   130.15233
      320   129.33277
      328   132.31300
      336   132.33162
      344   135.10697
      352   134.42710
      360   134.65062
      368   133.84037
      376   135.62851
      384   139.66113
      392   135.52606
      400   137.24901
      408   137.82643
      416   137.20244
      424   137.68673
      432   136.75541
      440   139.42830
      448   137.43527
      456   138.55286
      464   138.13376
      472   139.14891
      480   139.14891
      488   138.47835
      496   138.10582
      504   139.00921
      512   140.45276
      520   129.23963
      528   129.36071
      536   130.92533
      544   131.21404
      552   133.41196
      560   134.47367
      568   134.55749
      576   134.52023
      584   134.17564
      592   133.52372
      600   134.65993
      608   133.84968
      616   134.87414
      624   135.82408
      632   135.45156
      640   140.35963
      648   136.63433
      656   137.77055
      664   137.62154
      672   137.20244
      680   137.76124
      688   136.82060
      696   138.39453
      704   138.11514
      712   137.16519
      720   137.34214
      728   138.14308
      736   138.54355
      744   138.76706
      752   138.14308
      760   137.79849
      768   141.16056
      776   139.24204
      784   140.14542
      792   139.46556
      800   138.39453
      808   138.59011
      816   139.31654
      824   140.75078
      832   138.85088
      840   139.67045
      848   140.02435
      856   139.98710
      864   138.75775
      872   140.38756
      880   140.56452
      888   140.62040
      896   141.21644
      904   141.19782
      912   140.95567
      920   140.89979
      928   140.82529
      936   140.87185
      944   141.17919
      952   141.48653
      960   140.50864
      968   140.90911
      976   140.89048
      984   140.97430
      992   140.89979
     1000   140.61108
     1008   140.42482
     1016   140.82529
     1024   141.33751
     1032   134.77169
     1040   134.52955
     1048   135.55400
     1056   135.63782
     1064   136.95098
     1072   137.62154
     1080   137.56566
     1088   137.64016
     1096   137.91025
     1104   137.85437
     1112   138.04063
     1120   137.79849
     1128   138.51561
     1136   138.40385
     1144   138.28278
     1152   141.63554
     1160   138.25484
     1168   138.45973
     1176   138.42247
     1184   137.70536
     1192   138.46904
     1200   138.34797
