memsize[b]      [kb]     time in ns   speed in GiB/s
       1024        1     1.17347      6.34921
       1088        1     1.11759      6.66667
       1152        1     1.11759      6.66667
       1216        1     1.11759      6.66667
       1280        1     1.12690      6.61157
       1344        1     1.11759      6.66667
       1408        1     1.11759      6.66667
       1472        1     1.12690      6.61157
       1536        1     1.12690      6.61157
       1600        1     1.11759      6.66667
       1664        1     1.10827      6.72269
       1728        1     1.11759      6.66667
       1792        1     1.11759      6.66667
       1856        1     1.11759      6.66667
       1920        1     1.11759      6.66667
       1984        1     1.11759      6.66667
       2048        2     1.11759      6.66667
       2176        2     1.11759      6.66667
       2304        2     1.11759      6.66667
       2432        2     1.11759      6.66667
       2560        2     1.11759      6.66667
       2688        2     1.11759      6.66667
       2816        2     1.11759      6.66667
       2944        2     1.11759      6.66667
       3072        3     1.11759      6.66667
       3200        3     1.11759      6.66667
       3328        3     1.11759      6.66667
       3456        3     1.11759      6.66667
       3584        3     1.11759      6.66667
       3712        3     1.11759      6.66667
       3840        3     1.10827      6.72269
       3968        3     1.11759      6.66667
       4096        4     1.11759      6.66667
       4352        4     1.11759      6.66667
       4608        4     1.11759      6.66667
       4864        4     1.11759      6.66667
       5120        5     1.11759      6.66667
       5376        5     1.11759      6.66667
       5632        5     1.11759      6.66667
       5888        5     1.11759      6.66667
       6144        6     1.10827      6.72269
       6400        6     1.12690      6.61157
       6656        6     1.11759      6.66667
       6912        6     1.11759      6.66667
       7168        7     1.11759      6.66667
       7424        7     1.11759      6.66667
       7680        7     1.11759      6.66667
       7936        7     1.11759      6.66667
       8192        8     1.10827      6.72269
       8704        8     1.11759      6.66667
       9216        9     1.11759      6.66667
       9728        9     1.11759      6.66667
      10240       10     1.11759      6.66667
      10752       10     1.11759      6.66667
      11264       11     1.11759      6.66667
      11776       11     1.11759      6.66667
      12288       12     1.11759      6.66667
      12800       12     1.11759      6.66667
      13312       13     1.11759      6.66667
      13824       13     1.11759      6.66667
      14336       14     1.11759      6.66667
      14848       14     1.11759      6.66667
      15360       15     1.11759      6.66667
      15872       15     1.11759      6.66667
      16384       16     1.11759      6.66667
      17408       17     1.11759      6.66667
      18432       18     1.11759      6.66667
      19456       19     1.11759      6.66667
      20480       20     1.11759      6.66667
      21504       21     1.11759      6.66667
      22528       22     1.11759      6.66667
      23552       23     1.11759      6.66667
      24576       24     1.11759      6.66667
      25600       25     1.11759      6.66667
      26624       26     1.11759      6.66667
      27648       27     1.11759      6.66667
      28672       28     1.11759      6.66667
      29696       29     1.11759      6.66667
      30720       30     1.12690      6.61157
      31744       31     1.12690      6.61157
      32768       32     1.12690      6.61157
      34816       34     1.26660      5.88235
      36864       36     1.40630      5.29801
      38912       38     1.55531      4.79042
      40960       40     1.64844      4.51977
      43008       42     1.74157      4.27807
      45056       44     1.81608      4.10256
      47104       46     1.89990      3.92157
      49152       48     1.94646      3.82775
      51200       50     2.02097      3.68664
      53248       52     2.06754      3.60360
      55296       54     2.11410      3.52423
      57344       56     2.18861      3.40426
      59392       58     2.19792      3.38983
      61440       60     2.25380      3.30579
      63488       62     2.29105      3.25203
      65536       64     2.31899      3.21285
      69632       68     2.39350      3.11284
      73728       72     2.45869      3.03030
      77824       76     2.49594      2.98507
      81920       80     2.54251      2.93040
      86016       84     2.57045      2.89855
      90112       88     2.60770      2.85714
      94208       92     2.63564      2.82686
      98304       96     2.68221      2.77778
     102400      100     2.70084      2.75862
     106496      104     2.73809      2.72109
     110592      108     2.74740      2.71186
     114688      112     2.78465      2.67559
     118784      116     2.79397      2.66667
     122880      120     2.82191      2.64026
     126976      124     2.84053      2.62295
     131072      128     2.84985      2.61438
     139264      136     2.87779      2.58900
     147456      144     2.91504      2.55591
     155648      152     2.92435      2.54777
     163840      160     2.96161      2.51572
     172032      168     2.98023      2.50000
     180224      176     2.98955      2.49221
     188416      184     3.01749      2.46914
     196608      192     3.14787      2.36686
     204800      200     3.72529      2.00000
     212992      208     3.25963      2.28571
     221184      216     3.79980      1.96078
     229376      224     3.57628      2.08333
     237568      232     3.29688      2.25989
     245760      240     3.75323      1.98511
     253952      248     3.56697      2.08877
     262144      256     3.57628      2.08333
     278528      272     4.13507      1.80180
     294912      288     4.27477      1.74292
     311296      304     4.55417      1.63599
     327680      320     4.68455      1.59046
     344064      336     5.09433      1.46252
     360448      352     5.28060      1.41093
     376832      368     5.77420      1.29032
     393216      384     5.75557      1.29450
     409600      400     6.13742      1.21396
     425984      416     6.13742      1.21396
     442368      432     6.29574      1.18343
     458752      448     6.47269      1.15108
     475136      464     6.60308      1.12835
     491520      480     6.72415      1.10803
     507904      496     6.88247      1.08254
     524288      512     6.99423      1.06525
     557056      544     7.18050      1.03761
     589824      576     7.38539      1.00883
     622592      608     7.54371      0.98765
     655360      640     7.69272      0.96852
     688128      672     7.83242      0.95125
     720896      704     7.94418      0.93787
     753664      736     8.06525      0.92379
     786432      768     8.18633      0.91013
     819200      800     8.26083      0.90192
     851968      832     8.33534      0.89385
     884736      864     8.41916      0.88496
     917504      896     8.54023      0.87241
     950272      928     8.55885      0.87051
     983040      960     8.64267      0.86207
    1015808      992     8.69855      0.85653
    1048576     1024     8.75443      0.85106
    1114112     1088     8.86619      0.84034
    1179648     1152     8.92207      0.83507
    1245184     1216     9.01520      0.82645
    1310720     1280     9.02452      0.82559
    1376256     1344     8.94070      0.83333
    1441792     1408     9.00589      0.82730
    1507328     1472     9.05246      0.82305
    1572864     1536     9.08971      0.81967
    1638400     1600     9.14559      0.81466
    1703936     1664     9.18284      0.81136
    1769472     1728     9.21078      0.80890
    1835008     1792     9.25735      0.80483
    1900544     1856     9.31323      0.80000
    1966080     1920     9.32254      0.79920
    2031616     1984     9.34117      0.79761
    2097152     2048     9.36911      0.79523
    2228224     2176     9.63919      0.77295
    2359296     2304     9.82545      0.75829
    2490368     2432    10.07691      0.73937
    2621440     2560     7.97212      0.93458
    2752512     2688     8.07457      0.92272
    2883584     2816     8.16770      0.91220
    3014656     2944     8.26083      0.90192
    3145728     3072     8.33534      0.89385
    3276800     3200     8.54954      0.87146
    3407872     3328     8.49366      0.87719
    3538944     3456     8.56817      0.86957
    3670016     3584     8.66130      0.86022
    3801088     3712     8.89413      0.83770
    3932160     3840     8.79169      0.84746
    4063232     3968     9.02452      0.82559
    4194304     4096     9.57400      0.77821
    4456448     4352    10.46807      0.71174
    4718592     4608     8.15839      0.91324
    4980736     4864     8.69855      0.85653
    5242880     5120     9.37842      0.79444
    5505024     5376    10.57982      0.70423
    5767168     5632    12.20964      0.61022
    6029312     5888    14.23992      0.52322
    6291456     6144    16.24227      0.45872
    6553600     6400    18.32843      0.40650
    6815744     6656    17.28535      0.43103
    7077888     6912    20.07000      0.37123
    7340032     7168    22.47281      0.33154
    7602176     7424    24.58692      0.30303
    7864320     7680    26.50544      0.28110
    8126464     7936    28.26564      0.26359
    8388608     8192    29.95133      0.24876
    8912896     8704    32.42865      0.22975
    9437184     9216    34.89666      0.21350
    9961472     9728    37.09458      0.20085
   10485760    10240    39.12486      0.19043
   11010048    10752    40.49391      0.18399
   11534336    11264    42.03990      0.17723
   12058624    11776    43.52070      0.17120
   12582912    12288    45.45785      0.16390
   13107200    12800    46.53819      0.16010
   13631488    13312    51.35313      0.14509
   14155776    13824    51.70703      0.14409
   14680064    14336    51.14824      0.14567
   15204352    14848    51.49283      0.14469
   15728640    15360    54.57550      0.13652
   16252928    15872    59.49289      0.12523
   16777216    16384    56.20532      0.13256
   17825792    17408    56.47540      0.13193
   18874368    18432    57.25771      0.13012
   19922944    19456    57.34153      0.12993
   20971520    20480    61.65355      0.12085
   22020096    21504    60.61979      0.12291
   23068672    22528    59.45563      0.12531
   24117248    23552    60.70361      0.12274
   25165824    24576    60.36833      0.12342
   26214400    25600    61.27171      0.12160
   27262976    26624    61.95158      0.12026
   28311552    27648    60.63841      0.12287
   29360128    28672    61.41141      0.12132
   30408704    29696    61.92364      0.12032
   31457280    30720    65.46266      0.11381
   32505856    31744    65.12739      0.11440
   33554432    32768    66.93415      0.11131
