memsize[b]      [kb]   time in ns
       1024        1     1.95578
       1088        1     1.95578
       1152        1     1.95578
       1216        1     1.95578
       1280        1     1.94646
       1344        1     1.95578
       1408        1     1.95578
       1472        1     1.95578
       1536        1     1.95578
       1600        1     1.95578
       1664        1     1.95578
       1728        1     1.95578
       1792        1     1.94646
       1856        1     1.94646
       1920        1     1.95578
       1984        1     1.95578
       2048        2     1.95578
       2176        2     1.95578
       2304        2     1.95578
       2432        2     1.95578
       2560        2     1.95578
       2688        2     1.94646
       2816        2     1.95578
       2944        2     1.95578
       3072        3     1.95578
       3200        3     1.95578
       3328        3     1.95578
       3456        3     1.95578
       3584        3     1.95578
       3712        3     1.95578
       3840        3     1.94646
       3968        3     1.95578
       4096        4     1.95578
       4352        4     1.95578
       4608        4     1.95578
       4864        4     1.95578
       5120        5     1.95578
       5376        5     1.95578
       5632        5     1.95578
       5888        5     1.94646
       6144        6     1.95578
       6400        6     1.95578
       6656        6     1.95578
       6912        6     1.95578
       7168        7     1.95578
       7424        7     1.95578
       7680        7     1.95578
       7936        7     1.94646
       8192        8     1.94646
       8704        8     1.95578
       9216        9     1.95578
       9728        9     1.95578
      10240       10     1.95578
      10752       10     1.95578
      11264       11     1.95578
      11776       11     1.95578
      12288       12     1.95578
      12800       12     1.94646
      13312       13     1.95578
      13824       13     1.95578
      14336       14     1.95578
      14848       14     1.95578
      15360       15     1.95578
      15872       15     1.95578
      16384       16     1.95578
      17408       17     1.95578
      18432       18     1.95578
      19456       19     1.95578
      20480       20     1.94646
      21504       21     1.94646
      22528       22     1.95578
      23552       23     1.95578
      24576       24     1.95578
      25600       25     1.95578
      26624       26     1.95578
      27648       27     1.95578
      28672       28     1.95578
      29696       29     1.97440
      30720       30     2.28174
      31744       31     2.57045
      32768       32     2.78465
      34816       34     3.01749
      36864       36     2.94298
      38912       38     3.45521
      40960       40     3.81842
      43008       42     4.26546
      45056       44     4.60073
      47104       46     4.90807
      49152       48     5.16884
      51200       50     5.48549
      53248       52     5.70901
      55296       54     5.98840
      57344       56     6.20261
      59392       58     6.36093
      61440       60     6.62170
      63488       62     6.70552
      65536       64     6.90110
      69632       68     7.15256
      73728       72     7.45989
      77824       76     7.66478
      81920       80     7.86968
      86016       84     8.03731
      90112       88     8.21427
      94208       92     8.34465
      98304       96     8.52160
     102400      100     8.53091
     106496      104     8.72649
     110592      108     8.76375
     114688      112     8.92207
     118784      116     9.02452
     122880      120     9.08971
     126976      124     9.21078
     131072      128     9.20147
     139264      136     9.35979
     147456      144     9.48086
     155648      152     9.58331
     163840      160     9.72301
     172032      168     9.75095
     180224      176     9.83477
     188416      184     9.93721
     196608      192     9.95584
     204800      200    10.00240
     212992      208    10.08622
     221184      216    10.11416
     229376      224    10.16073
     237568      232    10.17004
     245760      240    10.26317
     253952      248    10.26317
     262144      256    10.30974
     278528      272    10.35631
     294912      288    10.41219
     311296      304    10.48669
     327680      320    10.77540
     344064      336    10.53326
     360448      352    15.30163
     376832      368    10.80334
     393216      384    18.68233
     409600      400    12.87088
     425984      416    18.31912
     442368      432    14.69627
     458752      448    23.67422
     475136      464    15.00361
     491520      480    23.18062
     507904      496    24.08400
     524288      512    27.61371
     557056      544    35.79073
     589824      576    36.78724
     622592      608    43.41826
     655360      640    46.25879
     688128      672    50.38455
     720896      704    53.20646
     753664      736    57.55574
     786432      768    61.50454
     819200      800    65.12739
     851968      832    68.46152
     884736      864    70.93884
     917504      896    74.20778
     950272      928    76.48952
     983040      960    79.14379
    1015808      992    80.85743
    1048576     1024    82.80389
    1114112     1088    86.38017
    1179648     1152    89.20208
    1245184     1216    92.16368
    1310720     1280    94.43611
    1376256     1344    96.55952
    1441792     1408    98.67363
    1507328     1472   100.35932
